################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [2.3661757e-06, 2.5392958e-06, 1.2704191e-06, 1.0389816e-06, 1.4362055e-06, 9.78533e-06, 6.9646336e-07, 2.0674072e-06, 1.38245505e-05, 9.405173e-07, 8.016908e-07, 6.520618e-07, 1.3816228e-06, 1.1288294e-06, 4.873556e-06, 3.287877e-06, 6.587741e-07, 6.537404e-07, 1.0141745e-06, 9.2349666e-07, 6.9530137e-07, 6.2125474e-07, 6.724884e-07, 8.747628e-07, 1.4499125e-06, 0.99913675, 0.00027290266, 7.40323e-07, 7.002289e-07, 9.245849e-07, 6.469195e-07, 6.868307e-07, 8.2615304e-07, 7.867285e-07, 7.1496777e-07, 7.0036646e-07, 8.8443977e-07, 1.1093389e-06, 2.4397825e-06, 7.124045e-07, 9.396745e-07, 6.368869e-07, 7.124928e-07]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.044272143, 0.007544237, 3.6048754e-05, 0.0015776664, 5.744041e-06, 0.0013161454, 0.00029464572, 2.4999324e-06, 2.6145375e-05, 0.00010325807, 3.7366324e-06, 0.00012563786, 0.00020565219, 0.004871646, 0.00054120447, 0.066983536, 0.04139384, 0.29632342, 0.004778029, 0.00940388, 0.0003790337, 0.033375982, 5.869786e-05, 0.00034672196, 0.0005390407, 0.003050908, 6.3846666e-05, 0.0007057455, 1.7466642e-05, 0.00023978126, 0.0034754947, 0.0014196632, 7.669733e-06, 0.00023328084, 5.620831e-06, 0.003069633, 0.009046963, 0.00027513402, 0.018034564, 0.012088717, 1.8077471e-05, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'jesus of nazareth is possibly mentioned in two passages of the work the antiquities of the jews by the jewish historian joseph ##us , written in the late first century ad .'
GOLD SEQ: 	 b'jesus of nazareth is possibly mentioned in two passages of the work the antiquities of the jews by the jewish historian joseph ##us , written in the late first century ad .'
PRED SEQ:	 b'jesus of nazareth is possibly mentioned in two passages of the work the antiquities of the jews by the jewish historian joseph ##us , written in the late first century ad .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.00050988555, 1.9194902e-05, 0.0015870014, 0.0008375471, 0.7743512, 0.00088819076, 5.7271886e-06, 0.00045726076, 0.0009538498, 5.736711e-06, 2.5023677e-05, 0.0050899037, 2.3553739e-05, 1.8282137e-05, 1.4931466e-06, 2.257666e-06, 7.792675e-06, 0.00022232116, 0.0018805949, 0.13565692, 0.0033201487, 0.00047897978, 3.486121e-05, 3.7272862e-06, 0.009521802, 0.00015698819, 7.5160424e-05, 0.00017194837, 3.372204e-05, 6.8025984e-06, 9.7265925e-05, 2.8325828e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a former politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.0037220654, 0.00028080202, 0.0021987946, 0.00037542963, 1.6607177e-05, 5.46939e-05, 1.8912988e-05, 1.8926952e-05, 7.195935e-05, 1.2139212e-05, 0.0021304302, 9.557881e-06, 5.296819e-05, 0.010293401, 0.78498787, 0.52379614, 0.016592331, 0.0034872135, 0.0002174764, 0.0054616285, 0.0005558242, 1.6609269e-05, 8.23034e-05, 6.898441e-05, 9.107368e-06, 2.8778575e-05, 1.5605016e-05, 0.00012274784, 0.00056607905, 0.0001846581, 2.3788552e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 [['former']]
################################################################################
IN SEQ: 	 b'the 51 day stand ##off and ensuing killing of 76 men , women , and children - - the branch david ##ians - - in wa ##co , texas .'
GOLD SEQ: 	 b'the 51 day stand ##off and ensuing killing of 76 men , women , and children - - the branch david ##ians - - in wa ##co , texas .'
PRED SEQ:	 b'the 51 day stand ##off and ensuing of 76 men , women , and children - - the branch david ##ians - - in wa ##co , texas .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [6.482286e-05, 5.3302007e-05, 2.507016e-05, 0.00019713632, 0.0006804236, 4.872329e-06, 0.0023149159, 0.95966023, 2.3811022e-05, 0.00016678282, 0.00018308582, 2.1115065e-06, 0.00013353201, 1.3293451e-06, 2.635016e-06, 0.0008404488, 5.9177553e-05, 0.00020279101, 0.00023017883, 3.630581e-05, 0.00012902815, 0.0010876381, 6.4821375e-05, 2.0795542e-05, 3.1014926e-05, 7.548982e-06, 3.48454e-06, 1.2196479e-06, 4.7094263e-06, 2.7079216e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'file : donna york . jp ##g | a barge haul ##s coal in the louisville and portland canal , the only artificial portion of the ohio river .'
GOLD SEQ: 	 b'file : donna york . jp ##g | a barge haul ##s coal in the louisville and portland canal , the only artificial portion of the ohio river .'
