################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.01005477, 0.007754678, 0.0006612186, 0.0003995032, 0.0023361302, 0.1605599, 2.9457817e-05, 0.005793096, 0.17880349, 0.0002216967, 9.888004e-05, 8.690356e-06, 0.0025466466, 0.0008022063, 0.28445604, 0.17351586, 1.1561153e-05, 1.2132616e-05, 0.000596857, 0.00018355969, 7.736265e-06, 6.368709e-06, 1.0636808e-05, 2.0232794e-05, 2.393784e-05, 0.019665515, 1.5958156e-05, 1.530283e-05, 9.128161e-05, 1.2985041e-05, 1.28132315e-05, 3.2463387e-05, 1.6076168e-05, 1.0107612e-05, 8.95842e-06, 5.4650583e-05, 0.00033416675, 0.01585314, 2.6173888e-05, 9.2809365e-05, 1.0409005e-05, 1.5719983e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
