==================
SIM GOLD:   0.8033
SIM IN:     0.8269
==================
       GOLD |  IN
0001 - 0.72 | 0.73
0002 - 0.92 | 0.95
0003 - 0.96 | 0.97
0004 - 0.71 | 0.77
0005 - 0.97 | 0.98
0006 - 0.88 | 0.88
0007 - 0.94 | 0.97
0008 - 0.58 | 0.57
0009 - 0.81 | 0.82
0010 - 0.60 | 0.61
0011 - 0.96 | 1.00
0012 - 0.96 | 0.98
0013 - 0.97 | 0.99
0014 - 0.96 | 0.98
0015 - 0.55 | 0.55
0016 - 0.76 | 0.82
0017 - 0.73 | 0.83
0018 - 0.72 | 0.74
0019 - 0.81 | 0.81
0020 - 0.95 | 0.96
0021 - 0.88 | 0.88
0022 - 0.96 | 1.00
0023 - 0.97 | 0.98
0024 - 0.82 | 0.80
0025 - 0.78 | 0.88
0026 - 0.66 | 0.66
0027 - 0.85 | 0.87
0028 - 0.89 | 0.99
0029 - 0.49 | 0.53
0030 - 0.64 | 0.66
0031 - 0.85 | 0.88
0032 - 0.59 | 0.65
0033 - 0.78 | 0.79
0034 - 0.89 | 0.88
0035 - 0.90 | 0.94
0036 - 0.73 | 0.78
0037 - 0.55 | 0.58
0038 - 0.55 | 0.54
0039 - 0.92 | 1.00
0040 - 0.76 | 0.79
0041 - 0.96 | 1.00
0042 - 0.87 | 0.88
0043 - 0.86 | 0.87
0044 - 0.78 | 0.79
0045 - 0.84 | 0.86
0046 - 0.62 | 0.66
0047 - 1.00 | 1.00
0048 - 0.87 | 0.89
0049 - 0.91 | 0.93
0050 - 0.86 | 0.86
0051 - 0.92 | 0.91
0052 - 0.58 | 1.00
0053 - 0.82 | 0.82
0054 - 0.57 | 0.59
0055 - 0.67 | 0.67
0056 - 0.53 | 0.55
0057 - 0.95 | 0.98
0058 - 0.84 | 0.86
0059 - 0.88 | 0.90
0060 - 0.95 | 1.00
0061 - 0.61 | 0.61
0062 - 0.96 | 1.00
0063 - 0.82 | 0.87
0064 - 0.46 | 0.50
0065 - 0.88 | 0.87
0066 - 0.83 | 0.84
0067 - 0.76 | 0.76
0068 - 0.79 | 0.79
0069 - 0.84 | 0.89
0070 - 0.89 | 0.99
0071 - 0.92 | 0.92
0072 - 0.93 | 0.97
0073 - 0.94 | 0.96
0074 - 0.95 | 0.96
0075 - 0.77 | 0.74
0076 - 0.57 | 0.64
0077 - 0.88 | 0.91
0078 - 0.78 | 0.79
0079 - 0.74 | 0.78
0080 - 0.92 | 0.93
0081 - 1.00 | 0.92
0082 - 0.90 | 0.93
0083 - 0.96 | 1.00
0084 - 0.92 | 0.93
0085 - 0.92 | 0.95
0086 - 0.77 | 0.76
0087 - 0.69 | 0.73
0088 - 0.90 | 0.92
0089 - 0.84 | 0.90
0090 - 0.74 | 0.73
0091 - 0.93 | 0.91
0092 - 0.82 | 0.87
0093 - 0.56 | 0.61
0094 - 0.88 | 0.90
0095 - 0.72 | 0.72
0096 - 0.06 | 0.09
0097 - 0.51 | 0.56
0098 - 0.57 | 0.57
0099 - 0.68 | 0.71
0100 - 0.92 | 0.97
0101 - 0.96 | 0.89
0102 - 0.94 | 0.98
0103 - 0.94 | 0.95
0104 - 0.85 | 0.90
0105 - 0.54 | 1.00
0106 - 0.86 | 0.87
0107 - 0.83 | 0.88
0108 - 0.86 | 0.87
0109 - 0.59 | 0.58
0110 - 0.94 | 0.94
0111 - 0.85 | 0.84
0112 - 0.81 | 0.83
0113 - 0.83 | 0.85
0114 - 0.93 | 0.98
0115 - 0.75 | 0.75
0116 - 0.99 | 1.00
0117 - 0.95 | 0.97
0118 - 0.93 | 0.97
0119 - 0.92 | 0.92
0120 - 0.46 | 0.65
0121 - 0.77 | 0.79
0122 - 0.93 | 0.95
0123 - 0.89 | 0.90
0124 - 0.93 | 1.00
0125 - 0.68 | 0.70
0126 - 0.86 | 0.87
0127 - 0.48 | 0.49
0128 - 0.71 | 0.70
0129 - 0.78 | 0.78
0130 - 0.67 | 0.65
0131 - 0.99 | 1.00
0132 - 0.60 | 0.62
0133 - 0.68 | 0.71
0134 - 0.95 | 0.90
0135 - 0.86 | 0.85
0136 - 0.82 | 0.82
0137 - 0.30 | 0.28
0138 - 0.69 | 0.73
0139 - 0.71 | 0.83
0140 - 0.72 | 0.73
0141 - 0.92 | 0.95
0142 - 0.56 | 0.56
0143 - 0.74 | 0.75
0144 - 0.91 | 0.92
0145 - 0.58 | 0.63
0146 - 0.86 | 0.80
0147 - 0.81 | 0.77
0148 - 0.73 | 0.79
0149 - 0.97 | 0.98
0150 - 0.09 | 0.09
0151 - 0.72 | 0.75
0152 - 0.78 | 0.83
0153 - 0.57 | 0.58
0154 - 0.85 | 0.93
0155 - 0.99 | 1.00
0156 - 0.61 | 0.61
0157 - 0.89 | 0.90
0158 - 0.73 | 0.87
0159 - 0.87 | 0.88
0160 - 0.56 | 0.56
0161 - 0.83 | 0.84
0162 - 0.83 | 0.84
0163 - 0.85 | 0.83
0164 - -0.17 | -0.17
0165 - 0.67 | 0.75
0166 - 0.75 | 0.79
0167 - 0.82 | 0.94
0168 - 0.81 | 0.80
0169 - 0.96 | 0.96
0170 - 0.86 | 0.88
0171 - 0.97 | 0.98
0172 - 0.73 | 0.72
0173 - 0.73 | 0.79
0174 - 0.62 | 0.61
0175 - 0.83 | 0.85
0176 - 0.87 | 0.92
0177 - 0.89 | 0.90
0178 - 0.71 | 0.70
0179 - 0.63 | 0.59
0180 - 0.89 | 0.99
0181 - 0.93 | 0.96
0182 - 0.88 | 0.92
0183 - 0.93 | 0.94
0184 - 0.85 | 0.92
0185 - 0.96 | 0.99
0186 - 0.71 | 0.70
0187 - 0.56 | 0.57
0188 - 0.81 | 0.84
0189 - 0.90 | 0.95
0190 - 0.93 | 0.94
0191 - 0.79 | 0.79
0192 - 0.79 | 0.80
0193 - 0.79 | 0.82
0194 - 0.92 | 0.93
0195 - 0.45 | 0.55
0196 - 0.76 | 0.76
0197 - 0.76 | 0.79
0198 - 0.57 | 0.62
0199 - 0.70 | 0.75
0200 - 0.66 | 0.67
0201 - 0.92 | 0.95
0202 - 0.93 | 0.94
0203 - 0.74 | 0.78
0204 - 0.68 | 0.71
0205 - 0.54 | 0.54
0206 - 0.89 | 0.91
0207 - 0.93 | 0.96
0208 - 0.73 | 0.74
0209 - 0.83 | 0.95
0210 - 0.91 | 1.00
0211 - 0.74 | 0.81
0212 - 0.84 | 0.86
0213 - 0.76 | 0.75
0214 - 0.45 | 0.42
0215 - 0.64 | 0.63
0216 - 0.74 | 0.73
0217 - 0.84 | 0.88
0218 - 0.69 | 0.69
0219 - 0.89 | 0.90
0220 - 0.63 | 0.70
0221 - 0.95 | 0.98
0222 - 0.87 | 0.91
0223 - 0.80 | 0.95
0224 - 0.82 | 0.87
0225 - 0.85 | 0.86
0226 - 0.95 | 0.90
0227 - 0.76 | 0.74
0228 - 0.81 | 0.84
0229 - 0.74 | 0.74
0230 - 0.81 | 0.80
0231 - 0.90 | 0.91
0232 - 0.47 | 0.48
0233 - 0.45 | 0.48
0234 - 0.91 | 0.93
0235 - 0.81 | 0.87
0236 - 0.90 | 0.89
0237 - 0.69 | 0.68
0238 - 0.92 | 0.93
0239 - 0.61 | 0.59
0240 - 0.93 | 0.96
0241 - 0.86 | 0.87
0242 - 0.87 | 0.91
0243 - 0.84 | 0.86
0244 - 0.88 | 0.86
0245 - 0.98 | 0.93
0246 - 0.88 | 0.90
0247 - 0.62 | 0.62
0248 - 0.59 | 0.53
0249 - 0.92 | 0.93
0250 - 0.91 | 0.94
0251 - 0.95 | 0.97
0252 - 0.73 | 0.75
0253 - 0.76 | 0.76
0254 - 0.64 | 0.73
0255 - 0.70 | 0.72
0256 - 0.87 | 0.88
0257 - 0.78 | 0.76
0258 - 0.80 | 0.82
0259 - 0.81 | 0.84
0260 - 0.60 | 0.67
0261 - 0.57 | 0.59
0262 - 0.92 | 0.93
0263 - 0.64 | 0.69
0264 - 0.55 | 0.60
0265 - 0.96 | 0.97
0266 - 0.88 | 0.90
0267 - 0.96 | 1.00
0268 - 0.80 | 0.87
0269 - 0.82 | 0.85
0270 - 0.69 | 0.68
0271 - 0.78 | 0.81
0272 - 0.47 | 0.49
0273 - 0.70 | 0.71
0274 - 0.94 | 0.94
0275 - 0.97 | 1.00
0276 - 0.74 | 0.82
0277 - 0.65 | 0.67
0278 - 0.68 | 0.66
0279 - 0.94 | 1.00
0280 - 0.86 | 0.89
0281 - 0.68 | 0.68
0282 - 0.98 | 1.00
0283 - 0.93 | 0.97
0284 - 0.98 | 1.00
0285 - 0.85 | 0.88
0286 - 0.83 | 0.83
0287 - 0.83 | 0.93
0288 - 0.91 | 0.93
0289 - 0.87 | 0.87
0290 - 0.88 | 0.90
0291 - 0.69 | 0.80
0292 - 0.97 | 0.98
0293 - 0.59 | 0.62
0294 - 0.74 | 0.75
0295 - 0.71 | 0.67
0296 - 0.45 | 0.47
0297 - 0.53 | 0.52
0298 - 0.66 | 0.71
0299 - 0.90 | 0.92
0300 - 0.69 | 0.72
0301 - 0.92 | 0.95
0302 - 0.95 | 1.00
0303 - 0.79 | 0.80
0304 - 0.93 | 0.92
0305 - 0.78 | 0.78
0306 - 0.89 | 0.91
0307 - 0.66 | 0.66
0308 - 0.63 | 0.64
0309 - 0.72 | 0.87
0310 - 0.63 | 0.66
0311 - 0.78 | 0.78
0312 - 0.66 | 0.80
0313 - 0.90 | 1.00
0314 - 0.86 | 0.86
0315 - 0.91 | 0.94
0316 - 0.97 | 0.96
0317 - 0.83 | 0.89
0318 - 0.93 | 0.94
0319 - 0.96 | 1.00
0320 - 0.88 | 0.91
0321 - 0.85 | 0.86
0322 - 0.33 | 0.33
0323 - 0.94 | 1.00
0324 - 0.90 | 0.91
0325 - 0.53 | 0.52
0326 - 0.85 | 0.88
0327 - 0.52 | 0.53
0328 - 0.89 | 0.97
0329 - 0.96 | 0.97
0330 - 0.96 | 0.97
0331 - 0.57 | 0.57
0332 - 0.95 | 0.95
0333 - 0.58 | 0.59
0334 - 0.84 | 0.86
0335 - 0.95 | 0.97
0336 - 0.98 | 1.00
0337 - 0.72 | 0.73
0338 - 0.86 | 0.84
0339 - 0.79 | 0.78
0340 - 0.65 | 0.71
0341 - 0.86 | 0.85
0342 - 0.59 | 0.60
0343 - 0.84 | 0.85
0344 - 0.84 | 0.84
0345 - 0.50 | 0.48
0346 - 0.88 | 0.75
0347 - 0.84 | 0.91
0348 - 0.78 | 0.79
0349 - 0.83 | 0.83
0350 - 0.80 | 0.81
0351 - 0.92 | 0.94
0352 - 0.91 | 1.00
0353 - 0.90 | 0.90
0354 - 0.88 | 0.89
0355 - 0.82 | 0.85
0356 - 0.90 | 0.91
0357 - 0.79 | 0.81
0358 - 0.88 | 0.90
0359 - 0.45 | 0.52
0360 - 0.95 | 0.96
0361 - 0.59 | 0.65
0362 - 0.84 | 0.86
0363 - 0.73 | 0.77
0364 - 0.60 | 0.64
0365 - 0.98 | 1.00
0366 - 0.91 | 0.93
0367 - 0.93 | 1.00
0368 - 0.66 | 0.70
0369 - 0.67 | 0.72
0370 - 0.91 | 0.96
0371 - 0.97 | 0.99
0372 - 0.79 | 0.79
0373 - 0.91 | 1.00
0374 - 0.77 | 0.76
0375 - 0.92 | 0.93
0376 - 0.93 | 0.95
0377 - 0.90 | 0.91
0378 - 0.70 | 0.72
0379 - 0.65 | 0.80
0380 - 0.93 | 0.94
0381 - 0.83 | 0.85
0382 - 0.57 | 0.61
0383 - 0.84 | 0.83
0384 - 0.78 | 0.79
0385 - 0.56 | 0.65
0386 - 0.64 | 0.73
0387 - 0.81 | 0.83
0388 - 0.92 | 0.94
0389 - 0.99 | 0.99
0390 - 0.94 | 0.97
0391 - 1.00 | 0.91
0392 - 0.47 | 0.49
0393 - 0.96 | 1.00
0394 - 0.92 | 0.98
0395 - 0.97 | 1.00
0396 - 0.69 | 0.70
0397 - 0.81 | 0.96
0398 - 0.61 | 0.61
0399 - 0.65 | 0.67
0400 - 0.86 | 0.92
0401 - 0.89 | 0.90
0402 - 0.95 | 0.95
0403 - 0.82 | 0.82
0404 - 0.62 | 0.66
0405 - 0.89 | 0.89
0406 - 0.72 | 0.70
0407 - 0.84 | 0.85
0408 - 0.98 | 1.00
0409 - 0.58 | 0.58
0410 - 0.68 | 0.70
0411 - 0.98 | 1.00
0412 - 0.88 | 0.91
0413 - 0.95 | 1.00
0414 - 0.63 | 0.64
0415 - 0.87 | 1.00
0416 - 0.92 | 0.93
0417 - 0.59 | 0.61
0418 - 0.83 | 0.82
0419 - 0.89 | 0.90
0420 - 0.85 | 0.86
0421 - 0.78 | 0.79
0422 - 0.95 | 0.97
0423 - 0.92 | 1.00
0424 - 0.84 | 0.85
0425 - 0.91 | 0.96
0426 - 0.76 | 0.77
0427 - 0.98 | 1.00
0428 - 0.64 | 0.64
0429 - 0.96 | 1.00
0430 - 0.93 | 0.93
0431 - 0.45 | 0.45
0432 - 0.86 | 0.92
0433 - 0.73 | 0.73
0434 - 0.80 | 0.84
0435 - 0.55 | 0.55
0436 - 0.46 | 0.47
0437 - 0.91 | 0.92
0438 - 0.93 | 0.95
0439 - 0.88 | 0.91
0440 - 0.77 | 0.78
0441 - 0.90 | 0.94
0442 - 0.92 | 0.94
0443 - 0.91 | 1.00
0444 - 0.86 | 0.86
0445 - 0.78 | 0.78
0446 - 0.57 | 0.69
0447 - 0.80 | 0.82
0448 - 0.81 | 0.83
0449 - 0.84 | 0.83
0450 - 0.69 | 0.71
0451 - 0.93 | 1.00
0452 - 0.78 | 0.79
0453 - 0.69 | 0.70
0454 - 0.94 | 0.96
0455 - 0.88 | 0.90
0456 - 0.95 | 0.96
0457 - 0.93 | 0.94
0458 - 0.93 | 0.94
0459 - 0.95 | 1.00
0460 - 0.76 | 0.76
0461 - 0.82 | 0.83
0462 - 0.56 | 0.63
0463 - 0.86 | 0.89
0464 - 0.85 | 0.82
0465 - 0.53 | 0.56
0466 - 0.99 | 0.99
0467 - 0.60 | 0.60
0468 - 0.93 | 0.94
0469 - 0.84 | 0.83
0470 - 0.97 | 1.00
0471 - 0.93 | 0.95
0472 - 0.45 | 0.45
0473 - 0.79 | 0.80
0474 - 0.75 | 0.78
0475 - 0.95 | 0.96
0476 - 0.77 | 0.79
0477 - 0.89 | 0.89
0478 - 0.88 | 0.90
0479 - 0.97 | 1.00
0480 - 0.87 | 0.91
0481 - 0.82 | 0.86
0482 - 0.57 | 0.58
0483 - 0.94 | 0.95
