==================
SIM GOLD:   0.9080
SIM IN:     0.9401
==================
       GOLD |  IN
0001 - 0.96 | 1.00
0002 - 0.93 | 0.95
0003 - 0.93 | 0.94
0004 - 0.92 | 0.97
0005 - 0.95 | 0.99
0006 - 0.83 | 0.83
0007 - 0.72 | 0.75
0008 - 0.92 | 0.97
0009 - 0.98 | 1.00
0010 - 0.94 | 0.97
0011 - 0.95 | 1.00
0012 - 0.97 | 1.00
0013 - 0.93 | 0.95
0014 - 0.97 | 0.99
0015 - 0.96 | 1.00
0016 - 0.96 | 1.00
0017 - 0.93 | 0.99
0018 - 0.92 | 0.94
0019 - 0.97 | 0.99
0020 - 0.97 | 0.98
0021 - 0.77 | 0.77
0022 - 0.94 | 0.97
0023 - 0.97 | 0.99
0024 - 0.97 | 1.00
0025 - 0.80 | 0.90
0026 - 0.83 | 0.84
0027 - 0.97 | 0.98
0028 - 0.89 | 0.99
0029 - 0.84 | 0.86
0030 - 0.97 | 1.00
0031 - 0.90 | 0.94
0032 - 0.87 | 0.89
0033 - 0.96 | 0.97
0034 - 0.96 | 0.98
0035 - 0.94 | 0.97
0036 - 0.96 | 0.99
0037 - 0.98 | 1.00
0038 - 0.92 | 0.96
0039 - 0.92 | 1.00
0040 - 0.83 | 0.84
0041 - 0.96 | 1.00
0042 - 0.97 | 0.98
0043 - 0.96 | 0.97
0044 - 0.73 | 0.74
0045 - 0.94 | 0.96
0046 - 0.87 | 0.95
0047 - 1.00 | 1.00
0048 - 0.91 | 0.92
0049 - 0.94 | 0.97
0050 - 0.97 | 1.00
0051 - 0.90 | 0.93
0052 - 0.58 | 1.00
0053 - 0.89 | 0.89
0054 - 0.98 | 1.00
0055 - 0.96 | 0.98
0056 - 0.90 | 1.00
0057 - 0.95 | 0.97
0058 - 0.92 | 0.95
0059 - 0.84 | 0.86
0060 - 0.95 | 0.99
0061 - 0.80 | 0.80
0062 - 0.92 | 0.96
0063 - 0.94 | 0.98
0064 - 0.87 | 0.92
0065 - 0.95 | 0.97
0066 - 0.97 | 0.98
0067 - 0.86 | 0.87
0068 - 0.99 | 1.00
0069 - 0.90 | 0.98
0070 - 0.91 | 1.00
0071 - 0.93 | 0.94
