################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2781927, 0.687555, 0.37612972, 0.19682357, 0.35045165, 0.2830432, 0.46642596, 0.32154506, 0.38771302, 0.51897, 0.25204167, 0.47449335, 0.21949983, 0.11079478, 0.20961234, 0.4228865, 0.5525415, 0.36652562, 0.39437917, 0.5445206, 0.96175224, 0.74126804, 0.78403884, 0.5198625, 0.52403116, 0.4322601, 0.60982627, 0.49269485, 0.43064696, 0.5614197, 0.463199, 0.5539938, 0.70153284, 0.50900376, 0.3302106, 0.4563555, 0.53422236, 0.32804447, 0.1873427, 0.43988582, 0.31181097, 0.48340023, 0.17175937, 0.4284379, 0.67401814]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the inspirational true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his own commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0]
PRED DIST: 	 [0.41597775, 0.6103048, 0.56850374, 0.6367526, 0.5413472, 0.31425953, 0.23467311, 0.17773634, 0.23479152, 0.29180536, 0.45025614, 0.39246666, 0.5271254, 0.47027898, 0.48959818, 0.6965029, 0.38053802, 0.32911688, 0.62767476, 0.5516464, 0.18745704, 0.29399267, 0.5521981, 0.5046159, 0.35042426, 0.39641407, 0.452246, 0.24795207, 0.52316415, 0.3857378, 0.7077123, 0.39429635, 0.57131773, 0.33521265, 0.5596127, 0.3723904, 0.34262145, 0.3641491, 0.30101874, 0.35072517, 0.24604881, 0.6942016, 0.48557338, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
