################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.38281804, 0.05134006, 0.23029798, 0.038722664, -0.004944518, 0.0306478, -0.087423354, -0.21309361, 0.06050691, 0.12351676, -0.19521734, -0.043865405, 0.25115168, 0.0648085, 0.04110164, -0.009033203, -0.11219193, -0.06655816, -0.2662605, -0.07026454, 0.073615626, 0.3089128, 0.11027732, 0.23851122, -0.45715314, -0.32030064, -0.0018494353, 0.17813963, 0.084480345, 0.19982597, 0.40325487, -0.017973974, 0.29705745, 0.07120864, 0.26598376, -0.049843565, 0.16592512, 0.16143823, 0.1562216, 0.29151493, 0.17501464, 0.2939884, 0.5030296, 0.45543784, -0.17966597]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.07402195, 0.025225539, 0.118581206, 0.24102795, -0.10111415, -0.12516287, 0.00432276, -0.15590124, 0.16008818, 0.14285636, -0.19641234, -0.07905914, 0.054251924, -0.13096452, 0.1248548, 0.16489738, 0.120026246, 0.15391254, 0.2299687, 0.2766344, 0.26188338, -0.102657005, 0.088739224, 0.0416625, 0.017115604, 0.23446932, 0.24098514, 0.5570518, -0.3108517, 0.19814035, 0.35956734, 0.26144108, 0.23627369, -0.0030656904, 0.1654318, 0.12580666, 0.35524017, 0.2674923, 0.5257093, -0.08212286, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
