################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.2431916, -0.13710591, -0.21201083, 0.051032566, 0.040735472, -0.10386965, -0.3460359, -0.2440281, -0.567177, -0.2372832, -0.33714595, 0.069072515, 0.1137543, -0.26910424, 7.5139105e-05, 0.06450671, -0.04822187, -0.0015451238, 0.052132607, -0.31230482, -0.33520007, -0.1317215, -0.1575697, 0.1300982, 0.08779095, -0.06187935, -0.12136844, -0.11213583, 0.15178277, 0.26548064, -0.30503672, -0.22896898, 0.096190125, 0.0849134, 0.29879776, 0.05397644, 0.04510779, -0.21368709, -0.22742091, -0.07672522, -0.31646016, -0.11062283, 0.020069174, -0.18587473, -0.072491206]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [-0.11637103, 0.066708624, 0.0135224685, -0.11369275, -0.28859624, -0.15384221, -0.11244443, -0.19899984, -0.42310357, -0.3763127, -0.23132461, -0.15720251, -0.08439435, 0.1371249, -0.02549579, -0.46858555, -0.25548142, -0.20022076, -0.13295282, -0.08509287, -0.16392441, -0.12794057, -0.45111796, -0.1997531, -0.22176377, -0.23715721, -0.0009313002, 0.079633996, -0.30215508, -0.055288978, -0.07440452, -0.012593895, -0.0051408783, 0.08845803, -0.4367841, -0.33023798, -0.26008597, 0.004369173, 0.09950809, -0.13807786, 0.0, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
