################################################################################
IN SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD SEQ: 	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
PRED SEQ:	 b'they see the calling of such councils , for example , by a roman emperor lacking the divine authority as prep ##ost ##ero ##us and assert that the emperors used the councils to exercise their influence to shape and institute christianity to their liking .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [-0.24615657, -0.1067736, 0.11239466, 0.22919703, 0.04799322, -0.06645991, -0.026441623, -0.08307369, -0.15875983, -0.07557864, 0.12844817, -0.036985964, 0.16581416, 0.41799852, 0.38942608, 0.17536308, 0.19544303, 0.15871938, 0.07088214, -0.18209997, 0.09748027, 0.13015099, 0.037712134, 0.19010356, -0.3611694, -0.40540695, -0.031248271, 0.06557305, 0.042121947, -0.26068482, -0.18790263, -0.17610969, -0.16653834, -0.05370091, -0.20025252, -0.18308471, 0.08374343, 0.14852165, 0.1487762, 0.07523579, 0.22031108, 0.37034982, 0.0751095, 0.42142752, -0.057053447]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD SEQ: 	 b'car ##wood lip ##ton has appeared on two separate television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
PRED SEQ:	 b'car ##wood lip ##ton has appeared on two television shows , providing his commentary in the hbo miniseries band of brothers and the true story of easy company , we stand alone together : the men of easy company .'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0]
PRED DIST: 	 [0.45801902, 0.3362411, 0.25427818, 0.25464198, 0.20026134, 0.059586953, 0.19773617, 0.12607741, 0.11490124, 0.007859647, 0.16870889, -0.07756101, 0.18477404, 0.15169273, 0.30695248, 0.22378269, 0.23909497, 0.19496977, 0.13892627, 0.3296928, 0.12618802, 0.09031477, 0.07861723, 0.5655828, 0.52330506, 0.3939997, 0.45511016, 0.36294526, 0.5470388, 0.012611136, 0.4440788, 0.50388634, 0.585376, 0.32641453, 0.42031032, 0.48669776, 0.31091315, 0.3497936, 0.40747505, 0.47155944, 0.37901473, 0.0, 0.0, 0.0, 0.0]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
GOLD SEQ: 	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
PRED SEQ:	 b'mark o ##ate ##n ( born 8 march 1964 , watford ) is a liberal democrat politician in the united kingdom , and member of parliament for the winchester constituency .'
